3.5;0.0166985;0.0156618;0.0143903333;0.0130944286
3.55;0.015413;0.0146954;0.0137078333;0.0126342857
3.6;0.0140735;0.0136304;0.0129085;0.01206
3.65;0.0127045;0.0124844;0.0119993333;0.0113677143
3.7;0.01133125;0.0112808;0.0109951667;0.010561
3.75;0.00998025;0.0100464;0.0099178333;0.0096527143
3.8;0.0086755;0.008811;0.0087953333;0.0086647143
3.85;0.00743975;0.0076036;0.0076595;0.0076258571
3.9;0.006291;0.0064522;0.006543;0.0065705714
3.95;0.00524325;0.0053798;0.0054771667;0.0055347143
4;0.00430575;0.0044052;0.004489;0.0045521429
4.05;0.00348275;0.0035406;0.0035993333;0.0036517143
4.1;0.002774;0.0027916;0.0028211667;0.0028541429
4.15;0.00217475;0.0021582;0.0021603333;0.0021715714
4.2;0.001678;0.0016356;0.0016153333;0.0016071429
4.25;0.00127375;0.0012146;0.0011786667;0.0011561429
4.3;0.00095125;0.0008834;0.0008388333;0.000808
4.35;0.0006985;0.0006292;0.0005821667;0.0005482857
